dst,reflex18,reflex19,reflex20,reflex21,reflex22,reflex23
13303,3.9655342557105664,3.6383943792704274,3.512066693798758,3.6869696336539506,3.7592014618997043,4.431182486077903
13305,3.7324910752669354,3.4893079001735736,3.4214410803200774,3.619223176231871,3.7298199560982535,4.21154939322338
13307,4.101981873495853,3.885986382105757,3.823050299785989,4.158914620025901,4.226234248515866,4.673821590033119
13309,3.458514705897453,3.1241689390672067,3.0077669513074317,3.213389303076278,3.294207474116584,3.9999019276195154
13311,4.30816838508505,4.159590073945047,4.143476363970022,4.279104907648191,4.264894623593495,4.82427193728692
13313,3.7751819465398917,3.446922255164415,3.1944378020770934,3.41922214283167,3.437884609139148,4.504551704453042
13315,3.6427325270309425,3.4477391877438026,3.344020282640814,3.430841707758714,3.5154355926031475,4.088341957065902
13317,4.029270584804462,3.6777268959994776,3.72848425428449,3.841808276896187,3.9077870567001174,4.340696839137972
13319,3.2458333255076823,2.9468877477108255,2.8400657444352078,2.97860983871927,3.091712645216548,3.8164410239061173
13321,3.542108624554322,3.221147618028486,3.1186193867119685,3.455600550755198,3.6008619261273545,4.175139535519046
16001,3.471116825834007,3.1993297719337637,2.9302889852804284,3.198900320258349,3.205181604278207,4.231460328799619
16003,3.208460478825233,2.9732253559596002,2.920619701019453,3.0702984860810245,3.1346213433160632,3.5350873499252873
16005,3.6394164225054753,3.478370785922715,3.420867806641619,3.6129402019946886,3.5946596863488463,4.0743494367182835
16007,3.73545665224462,3.545577371901125,3.453240411995281,3.663441541619268,3.6799837123815817,4.249489748522217
16009,2.4630296238816958,2.1898609352749308,2.219001333251329,2.3959454241669746,2.5313679157612756,2.953246259822751
16011,2.8166583775727054,2.6835011590384577,2.656775336678553,2.8683654466408823,2.902143787485584,3.640986885882864
16013,4.306370580376056,3.8384578762111996,3.713916745834507,3.869359978244056,3.7322915625123634,4.257940018511651
16015,1.995197317814894,1.7709635073524541,1.6508338176182362,1.9619899014307016,2.053976484090224,2.8267398386339697
16017,2.9934443242519855,2.6381269395772255,2.575204815567281,2.7584010336374276,2.7681572448583895,3.384461170411894
16019,3.358148582594354,3.1581612497478817,3.1070796935655327,3.3002080505947786,3.255290188107856,4.143999803016431
16021,3.02133377519314,2.6723542270168035,2.4786961503065355,2.822139333969344,2.954884015346723,3.742955161112165
16023,3.638156947299467,3.3151858310650306,3.44709259693956,3.860594887358342,3.776204174591181,4.434003012081649
16025,2.902059621252345,2.6217419972697202,2.6343633107129425,2.7625823952402158,2.8468947031878056,2.871922751461731
16027,2.434333712914143,2.3344526174585494,2.3444931173554298,2.5590875473967922,2.604255109032105,3.491349333762036
16029,3.4154249693005627,3.1565417787765764,3.1431488182386733,3.4022200356828463,3.360084852957908,3.96245024448801
16031,3.21153649688889,3.0301264520883624,2.976082856340761,3.062467097126423,2.9256396562504436,4.487041034752557
16033,4.040885456661791,3.9902292335218923,3.789663339730932,4.170112956727092,4.192663817305587,4.544945960322415
16035,2.5305946143766556,2.3397553760856638,2.307725146018288,2.452691395999757,2.5546324142736476,3.0390870851138025
16037,4.17201009600299,3.6480867575845,3.573634109837139,3.7774698076390196,3.718076958355882,4.32619178925982
16039,3.8101054324623993,3.5317619481216354,3.472149020512528,3.6761823900366286,3.6449907420655947,4.580600663732001
16041,2.576170642863397,2.448855094814506,2.3845108066858955,2.552846279763949,2.589020891278255,3.0021592490285283
16043,3.7450315237546397,3.635665737567408,3.569620545311417,4.08478902488679,3.901274808005264,4.591670791426921
16045,2.04075061515324,1.9538508707899964,1.8957167770968086,2.0748734816069474,2.153951677096075,2.563732470341966
16047,3.444711752550931,3.2484640009803813,3.202985080699327,3.7295790861883784,3.67623993958726,4.5620988748380285
16049,3.705948249673986,3.3050887235301474,3.1914686275954964,3.2634378353115845,3.3424919994140496,4.113783799677304
16051,2.3747911632367678,2.1970311380852303,2.187613039384339,2.330422508652973,2.38579038634277,3.203130884235733
16053,3.779584582805257,3.6304289373629155,3.5867089125685863,3.5924034655330512,3.4631521118611373,4.58908321163115
16055,3.1317991507679572,2.907739291438642,2.846346616994841,3.0840671998686164,3.1168679351288215,3.7850077388130114
16057,2.8535409750899565,2.6700952592127334,2.54400286344654,2.818237129721026,2.8650257739575635,3.3484628471389044
16059,4.390946672117654,3.865286964300908,3.725665104672439,3.954260951079381,3.933979577211277,4.496449474708998
16061,2.497348839644939,2.2369566561801717,2.1028809847393846,2.516661059770345,2.4846495283517216,3.1181649219931207
16063,2.535028688548592,2.4402186003301933,2.524779842053473,2.6025914534756773,2.5799354948867914,3.001900955579364
16065,3.2529624905720538,3.163369583206574,3.1360278978963105,3.3801208684410757,3.2851603395353135,3.883601045777767
16067,3.5362190928230857,3.355269596529382,3.3224121635542763,3.2845414552915946,3.1737887657704893,4.615155556455424
16069,2.8080336636823353,2.553022874595374,2.4036705541635786,2.6000393563227115,2.5759358172433817,3.3274932524388987
16071,4.011291065936342,3.8749458928120113,3.8956824732103854,4.093287391902865,4.080074878639671,5.422774685133931
16073,2.186766063687552,1.9683128765321933,2.026229779496053,2.216721071146118,2.2431294550050276,2.9184106243467447
16075,2.815263120043102,2.637622613702517,2.581221671346345,2.8029709316608615,2.7685798848951815,3.617733331203817
16077,2.985694814613125,2.6996095428767797,2.6440389553693184,2.9893087463390757,2.9687297817243428,3.744599931338649
16079,3.1187343361240787,2.77888736048454,2.6528417631516126,3.050841904937693,3.0521139762211353,4.160598402392715
16081,4.338009910082139,4.021110809277141,4.03501391941659,4.664076968021638,4.471112058819154,5.174144975257318
16083,3.591606569293011,3.389454871150975,3.3625375131271245,3.450038010815645,3.3623809651680134,4.21231896105055
16085,2.7697822039814914,2.5440348796741947,2.416632626497066,2.6380033761146153,2.6992278830284366,3.454288899927789
16087,2.7999010308514016,2.597616701852081,2.570914634269571,2.7935777179026897,2.7954465745557715,3.174321141816983
17001,3.8663016446302536,3.479004397379098,3.2405074625739174,3.4134143911907606,3.5129413133709746,4.323471611819991
17003,3.675668554624397,3.3652874758368814,3.4825477359128523,3.8268427165216945,3.9636237557733156,4.4342502190499
17005,3.9587513648449106,3.6110887098204385,3.3291180995516316,3.5205338276193348,3.6473707548896352,4.6865343607451155
17007,2.7969922739939053,2.539893846411783,2.284208737963812,2.5591302755808494,2.625554449927606,3.4138714655604487
17009,3.3550838132635072,2.9003972976831536,2.7010114326122396,2.7433945053158038,2.8680332517798295,4.088269873885863
17011,3.731547629257206,3.277302723130166,3.175680620266543,3.381930264294362,3.400064762354077,4.4115017381951915
17013,3.2376192354822715,2.8206318335552343,2.7701459068976395,2.8537098745439966,2.90327836086068,3.6577706546530258
17015,3.311487459253531,3.0034660398218107,2.984447749979628,3.066936977757754,3.1226000349423852,3.6293649174987266
17017,3.191284704688697,2.9445968222871346,2.8223428691547467,2.9848448772458203,3.098220403086828,3.724934816841784
17019,4.122156312827208,3.985968646894201,3.775798553427066,4.287687586233996,4.413260803012338,4.670564150015167
17021,2.951573061787695,2.7288285215143837,2.5574201125985967,2.806530392360973,2.932515025341138,3.4931415799910672
17023,4.330940024124807,3.9343032956324477,3.905332838194052,3.9436902691113076,3.944991100420455,5.25600139420658
17025,3.4383793491013988,3.18556008612405,3.105122209758172,3.506170017271473,3.57421103893249,4.1414023998719935
17027,2.9043973887092576,2.716933685472464,2.5640617271159036,2.8330191168296004,2.943781286578451,3.557427212668853
17029,4.101736035745286,4.02401835851453,3.829171493374884,4.457767288520545,4.582141774047991,4.6136979521392645
17031,3.8272173867417676,3.4992444202631856,2.927820390442561,3.483570636135952,3.637999325355753,4.3327579940153695
17033,3.6450315220746083,3.3817173774040246,3.2807501768636986,3.4843454352699315,3.5441437832593325,4.187749443786005
17035,4.232028362353986,3.912046542586148,3.750727437424039,4.014479892692061,4.158911895951389,5.505950843222046
17037,3.213802522445855,3.07682676366609,2.8283332464131767,3.0899581757709513,3.119135430265302,3.626929664414679
17039,3.0630119535224636,2.845239793673567,2.7301320895578733,3.026294919163161,3.0915154721701534,3.860050448122645
17041,4.1975085546766255,4.166598153151098,4.19445786520648,4.858318161009447,4.993946713636035,5.039815721121552
17043,2.2268886134100434,2.0928331252488013,1.9211821787785703,2.1560525607946466,2.2315673204976587,2.819810402721849
17045,3.0884423454820045,2.894521401619389,2.7328143596656838,2.9476798186787323,2.9277865624973205,3.444133364584784
17047,3.3182918455506263,3.216624039044094,3.086591342770596,3.6965579260024466,3.9677505034433693,4.330961218114487
17049,5.11787698722825,4.844284076034519,4.600607201868338,4.962491451995823,5.046714974116781,5.675556397745005
17051,4.419003281097413,3.9679166534154744,3.752338117488452,4.020038373313375,4.087319191704349,5.127886380160688
17053,2.996948822811906,2.8365123938317995,2.6898665354131874,3.1439085450047575,3.3417072110409363,3.8874844523367003
17055,4.569637280656696,4.618694561562803,4.666223173340162,5.444834205482945,5.616608306686931,5.574095983377451
